iban,date,currency,category,amount
PL61109010140000071219812874,2024-01-02,PLN,SALARY,5000.00

PL61109010140000071219812874,2024-01-05,PLN,FOOD,-125.50

PL61109010140000071219812874,2024-01-07,PLN,TRANSPORT,-45.00
  PL61109010140000071219812874  , 2024-01-10 , PLN , UTILITIES , -350.00
PL61109010140000071219812874,2024-01-12,PLN,food,-80.00
PL61109010140000071219812874,2024-01-15,pln,FOOD,-95.30
pl61109010140000071219812874,2024-01-18,PLN,HEALTHCARE,-200.00
"PL61109010140000071219812874",2024-01-20,PLN,SHOPPING,-450.00
DE89370400440532013000,2024-01-22,EUR,ENTERTAINMENT,-99.99,extra_column,ignored
