iban,date,currency,category,amount
PL61109010140000071219812874,2024-01-01,PLN,SALARY,5000.00
PL61109010140000071219812874,2024-01-02,PLN,FOOD,-45.50
PL61109010140000071219812874,2024-01-03,PLN,TRANSPORT,-12.00
PL61109010140000071219812874,2024-01-04,PLN,FOOD,-67.80
PL61109010140000071219812874,2024-01-05,PLN,SHOPPING,-230.00
PL61109010140000071219812874,2024-01-06,PLN,ENTERTAINMENT,-55.00
PL61109010140000071219812874,2024-01-07,PLN,FOOD,-34.20
PL61109010140000071219812874,2024-01-08,PLN,UTILITIES,-180.00
PL61109010140000071219812874,2024-01-09,PLN,TRANSPORT,-25.00
PL61109010140000071219812874,2024-01-10,PLN,FOOD,-89.90
PL61109010140000071219812874,2024-01-11,PLN,HEALTHCARE,-150.00
PL61109010140000071219812874,2024-01-12,PLN,FOOD,-42.30
PL61109010140000071219812874,2024-01-13,PLN,SHOPPING,-178.00
PL61109010140000071219812874,2024-01-14,PLN,FOOD,-56.70
PL61109010140000071219812874,2024-01-15,PLN,SALARY,5000.00
PL61109010140000071219812874,2024-01-16,PLN,TRANSPORT,-18.00
PL61109010140000071219812874,2024-01-17,PLN,FOOD,-91.20
PL61109010140000071219812874,2024-01-18,PLN,ENTERTAINMENT,-120.00
PL61109010140000071219812874,2024-01-19,PLN,FOOD,-38.40
PL61109010140000071219812874,2024-01-20,PLN,UTILITIES,-320.00
DE89370400440532013000,2024-01-01,EUR,SALARY,4500.00
DE89370400440532013000,2024-01-02,EUR,FOOD,-52.30
DE89370400440532013000,2024-01-03,EUR,TRANSPORT,-28.00
DE89370400440532013000,2024-01-04,EUR,SHOPPING,-145.00
DE89370400440532013000,2024-01-05,EUR,FOOD,-41.70
DE89370400440532013000,2024-01-06,EUR,ENTERTAINMENT,-85.00
DE89370400440532013000,2024-01-07,EUR,FOOD,-63.90
DE89370400440532013000,2024-01-08,EUR,UTILITIES,-210.00
DE89370400440532013000,2024-01-09,EUR,HEALTHCARE,-95.00
DE89370400440532013000,2024-01-10,EUR,FOOD,-47.50
DE89370400440532013000,2024-01-11,EUR,TRANSFER,-1000.00
DE89370400440532013000,2024-01-12,EUR,FOOD,-35.80
DE89370400440532013000,2024-01-13,EUR,SHOPPING,-267.00
DE89370400440532013000,2024-01-14,EUR,FOOD,-72.40
DE89370400440532013000,2024-01-15,EUR,SALARY,4500.00
GB82WEST12345698765432,2024-01-01,GBP,SALARY,3800.00
GB82WEST12345698765432,2024-01-03,GBP,FOOD,-45.00
GB82WEST12345698765432,2024-01-05,GBP,TRANSPORT,-35.00
GB82WEST12345698765432,2024-01-07,GBP,UTILITIES,-125.00
GB82WEST12345698765432,2024-01-09,GBP,FOOD,-58.20
GB82WEST12345698765432,2024-01-11,GBP,ENTERTAINMENT,-75.00
GB82WEST12345698765432,2024-01-13,GBP,SHOPPING,-220.00
GB82WEST12345698765432,2024-01-15,GBP,FOOD,-42.80
GB82WEST12345698765432,2024-01-17,GBP,HEALTHCARE,-180.00
GB82WEST12345698765432,2024-01-19,GBP,FOOD,-51.30
GB82WEST12345698765432,2024-01-20,GBP,TRANSFER,-500.00
