iban,date,currency,category,amount
PL61109010140000071219812874,2024-01-02,PLN,SALARY,5000.00
INVALID_IBAN,2024-01-05,PLN,FOOD,-125.50
PL61109010140000071219812874,invalid-date,PLN,TRANSPORT,-45.00
PL61109010140000071219812874,2024-01-10,INVALID,UTILITIES,-350.00
PL61109010140000071219812874,2024-01-12,PLN,UNKNOWN_CATEGORY,-80.00
PL61109010140000071219812874,2024-01-15,PLN,FOOD,abc
PL61109010140000071219812874,2024-01-18,PLN,HEALTHCARE,-200.00
PL61109010140000071219812874,2024-01-20,PLN,SHOPPING,0
PL61109010140000071219812874,2024-01-22,PLN,FOOD,-78.90
DE89370400440532013000,2024-01-26,EUR,TRANSFER,-500.00
